0x0	0x0	0
0x40	0x40	0
0x8	0x8	0
0x1f	0x1f	0
0x2	0x2	0
0x5	0x5	0
0x7	0x7	0
0xb	0xb	0
0x11	0x11	0
0x13	0x13	0
0x14	0x14	0
0x18	0x18	0
0x1a	0x1a	0
0x1b	0x1b	0
0x1d	0x1d	0
0x24	0x24	0
0x29	0x29	0
0x2e	0x2e	0
0x33	0x33	0
0x38	0x38	0
0x3a	0x3a	0
0x3d	0x3d	0
0x3e	0x3e	0
0x42	0x42	0
0x46	0x46	0
0x4a	0x4a	0
0x50	0x50	0
0x52	0x52	0
0x56	0x56	0
0x58	0x58	0
0x59	0x59	0
0x5d	0x5d	0
0x61	0x61	0
0x63	0x63	0
0x66	0x66	0
0x6b	0x6b	0
0x74	0x74	0
0x76	0x76	0
0x276	0x276	0
0xc76	0xc76	0
0x1676	0x1676	0
0x2096	0x2096	0
0x2a96	0x2a96	0
0x3496	0x3496	0
0xc0S0x55	0xc0V0x55	0
0xc2S0x55	0xc2V0x55	0
0xc5S0x55	0xc5V0x55	0
0xc8S0x55	0xc8V0x55	0
0xcaS0x55	0xcaV0x55	0
0xcdS0x55	0xcdV0x55	0
0xcfS0x55	0xcfV0x55	0
0xb3S0x55	0xb3V0x55	0
0xb6S0x55	0xb6V0x55	0
0xd9S0xb2S0x55	0xd9V0xb2V0x55	0
0x99S0x37	0x99V0x37	0
0x8dS0x37	0x8dV0x37	0
0x8fS0x37	0x8fV0x37	0
0x93S0x37	0x93V0x37	0
0x94S0x37	0x94V0x37	0
0x95S0x37	0x95V0x37	0
0x96S0x37	0x96V0x37	0
0x9eS0x37	0x9eV0x37	0
0xa0S0x37	0xa0V0x37	0
0xa5S0x37	0xa5V0x37	0
0xa6S0x37	0xa6V0x37	0
0x7aS0x9dS0x37	0x7aV0x9dV0x37	0
0x7dS0x9dS0x37	0x7dV0x9dV0x37	0
0x80S0x9dS0x37	0x80V0x9dV0x37	0
0x83S0x9dS0x37	0x83V0x9dV0x37	0
0xefS0x79S0x9dS0x37	0xefV0x79V0x9dV0x37	0
0xe3S0x79S0x9dS0x37	0xe3V0x79V0x9dV0x37	0
0xe6S0x79S0x9dS0x37	0xe6V0x79V0x9dV0x37	0
0xebS0x79S0x9dS0x37	0xebV0x79V0x9dV0x37	0
0xecS0x79S0x9dS0x37	0xecV0x79V0x9dV0x37	0
0xd9S0xe2S0x79S0x9dS0x37	0xd9V0xe2V0x79V0x9dV0x37	0
